idpozo,idempresa,empresa,cuenca,provincia,formacion,tipo_de_recurso,n_meses,prod_pet_annual
96908,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,19.791
96908,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,172.54
96910,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,2.73381
96910,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,71.83
96911,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,32.08712
96911,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,356.93
96913,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,19.07285
96913,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,373.92
96918,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,0.531948
96918,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,117.03
96920,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,9.089402
96920,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,97.36
96923,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,24.86949
96923,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,357.17
96924,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,26.19726
96924,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,235.27
96925,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,30.25599
96925,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,256.34
